country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
brazil,Serie A Brazil,2025,Brahian Palacios,23.0,F,Colombia,178.0,74.0,1,0,17.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,6.3
spain,La Liga,2025,Brahim Díaz,26.0,M,Morocco,171.0,59.0,30,13,1284.0,1.0,6.0,2.0,0.0,0,0,2,0.0,0,0.2102803738317757,0.8411214953271028,0.49065420560747663,0.07009345794392523,0.4205607476635514,0.49065420560747663,0.07009345794392523,37.2196261682243,2.102803738317757,1.0514018691588785,0.0,0.14018691588785046,1.191588785046729,11.144859813084112,5.537383177570093,3.08411214953271,1.7523364485981308,0.14018691588785046,2.5934579439252334,1.3317757009345794,0.14018691588785046,0.0,0.0,23.839924670433145,58.333333333333336,49.685534591194966,56.81818181818182,6.728660436137072
netherlands,Eredivisie,2025,Brahim Ghalidi,20.0,F,Belgium,174.0,66.0,10,1,283.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.9540636042402828,0.0,0.0,0.0,0.0,0.0,42.29681978798587,1.2720848056537102,0.31802120141342755,0.0,0.9540636042402828,1.2720848056537102,10.812720848056536,7.3144876325088335,3.816254416961131,3.1802120141342756,0.6360424028268551,3.816254416961131,0.31802120141342755,0.31802120141342755,0.0,0.0,14.62406015037594,0.0,67.64705882352942,83.33333333333334,6.874558303886926
brazil,Serie A Brazil,2025 / 2026,Braian Aguirre,25.0,D,Argentina,174.0,71.0,42,33,2952.0,2.0,1.0,2.0,0.0,0,0,5,0.0,0,0.09146341463414635,0.7926829268292682,0.1829268292682927,0.06097560975609756,0.03048780487804878,0.09146341463414635,0.06097560975609756,40.70121951219512,0.7012195121951219,2.6219512195121952,0.3658536585365854,1.128048780487805,3.75,8.47560975609756,4.054878048780488,1.2195121951219512,0.6707317073170731,0.8536585365853658,0.24390243902439024,1.6158536585365855,0.1524390243902439,0.0,0.0,33.80823970037453,23.076923076923077,47.84172661870504,55.00000000000001,6.917276422764228
argentina,Primera Division,2026,Braian Cuello,28.0,M,Argentina,172.0,71.0,14,12,876.0,3.0,0.0,0.0,0.0,0,0,3,0.0,0,0.2054794520547945,1.7465753424657533,0.821917808219178,0.3082191780821918,0.0,0.3082191780821918,0.3082191780821918,27.73972602739726,0.2054794520547945,1.2328767123287672,0.2054794520547945,0.821917808219178,2.054794520547945,11.60958904109589,5.445205479452055,1.4383561643835616,0.5136986301369862,0.5136986301369862,1.7465753424657533,1.7465753424657533,0.3082191780821918,0.0,0.0,17.47037037037037,47.05882352941176,46.902654867256636,35.714285714285715,6.807534246575342
argentina / brazil,Primera Division / Serie A Brazil,2025 / 2026,Braian Cufré,29.0,D,Argentina,179.0,82.0,28,24,2152.0,0.0,1.0,0.0,0.0,0,0,1,0.0,0,0.0,0.6273234200743494,0.16728624535315983,0.0,0.04182156133828996,0.04182156133828996,0.0,38.01579925650558,1.3382899628252787,1.4637546468401488,0.20910780669144982,0.7109665427509293,2.1747211895910783,5.771375464684015,3.011152416356877,0.9200743494423792,0.5436802973977696,0.5855018587360595,0.4600371747211896,0.8364312267657993,0.04182156133828996,0.0,0.0,31.55225522552255,26.666666666666668,52.17391304347826,59.09090909090909,6.838475836431226
argentina,Primera Division,2025,Braian Guille,28.0,F,Argentina,170.0,69.0,8,1,191.0,1.0,0.0,0.0,0.0,0,0,3,0.0,0,0.47120418848167545,2.827225130890052,0.9424083769633509,0.47120418848167545,0.0,0.47120418848167545,0.47120418848167545,25.445026178010473,0.9424083769633509,2.827225130890052,0.0,0.9424083769633509,3.7696335078534036,17.43455497382199,5.654450261780104,4.2408376963350785,1.8848167539267018,0.9424083769633509,0.47120418848167545,1.8848167539267018,1.413612565445026,0.0,0.0,8.11111111111111,33.33333333333333,32.432432432432435,44.44444444444444,6.440740740740741
argentina,Primera Division,2025,Braian Martínez,26.0,F,Argentina,170.0,75.0,13,3,426.0,2.0,1.0,1.0,0.0,2,0,3,0.0,0,0.0,1.6901408450704225,0.8450704225352113,0.4225352112676056,0.2112676056338028,0.6338028169014085,0.0,30.63380281690141,1.9014084507042253,1.4788732394366197,0.2112676056338028,0.4225352112676056,1.9014084507042253,16.690140845070424,7.183098591549296,3.1690140845070425,1.267605633802817,0.4225352112676056,3.591549295774648,0.6338028169014085,0.6338028169014085,0.0,0.0,11.668965517241379,50.0,43.037974683544306,40.0,6.600704225352113
usa,MLS,2025 / 2026,Braian Ojeda,25.0,M,Paraguay,172.0,68.0,46,41,3565.0,2.0,1.0,0.0,0.0,0,0,7,0.0,0,0.0,0.8078541374474054,0.2776998597475456,0.05049088359046284,0.02524544179523142,0.07573632538569425,0.05049088359046284,48.47124824684432,0.8835904628330995,1.464235624123422,0.302945301542777,1.2370266479663394,2.7012622720897617,9.517531556802243,5.099579242636747,1.5904628330995791,0.9845722300140252,0.8835904628330995,1.9186535764375878,1.4389901823281908,0.17671809256661994,0.0,0.0,41.765625,34.375,53.58090185676393,61.904761904761905,6.8770763187429855
argentina,Primera Division,2025 / 2026,Braian Romero,34.0,F,Argentina,180.0,70.0,36,25,2329.0,9.0,2.0,1.0,0.0,2,0,12,0.0,0,0.9274366680978962,1.9321597252039502,0.9660798626019751,0.34778875053671104,0.07728638900815801,0.42507513954486903,0.270502361528553,16.423357664233578,0.5023615285530271,1.0433662516101332,0.07728638900815801,0.11592958351223702,1.15929583512237,11.863460712752255,5.255474452554744,1.8548733361957923,0.7728638900815801,0.30914555603263205,1.6230141691713182,1.3911550021468442,0.4637183340489481,0.0,0.0,10.558962264150944,50.0,44.299674267100976,41.66666666666667,6.873373545885394
