league,player_name,age,position,nationality_group,height,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
EUROPE 2,Abdülkadir Ömür,25-27,M,UEFA,163-170,25,17,1323.0,0.0,1.0,0.0,0.0,0,0,2,0.0,0,0.0,1.020408163265306,0.6802721088435374,0.0,0.0680272108843537,0.0680272108843537,0.0,28.027210884353742,1.08843537414966,2.2448979591836737,0.1360544217687075,0.6802721088435374,2.925170068027211,8.775510204081634,4.081632653061225,0.8843537414965987,0.4081632653061224,1.2925170068027212,0.6802721088435374,1.020408163265306,0.1360544217687075,0.0,0.0,17.6919315403423,66.66666666666666,46.51162790697674,46.15384615384615,6.60755857898715
EUROPE 2,Abdülkerim Bardakcı,28-31,D,UEFA,179-186,30,30,2546.0,0.0,1.0,0.0,0.0,0,0,6,0.0,1,0.0706991358994501,0.6716417910447761,0.1767478397486253,0.0,0.035349567949725,0.035349567949725,0.0,64.37156323644933,0.565593087195601,1.4139827179890023,0.565593087195601,0.9544383346425764,2.3684210526315788,7.1759622937941865,4.454045561665358,0.3888452474469756,0.2474469756480754,0.4595443833464258,0.7069913589945012,0.6716417910447761,0.2120974076983503,0.0,0.035349567949725,60.444261394838,26.31578947368421,62.06896551724138,63.63636363636363,7.152749410840535
EUROPE 1,Abel Bretones,25-27,D,UEFA,187-194,28,17,1658.0,1.0,2.0,1.0,0.0,0,0,5,0.0,1,0.0542822677925211,0.5428226779252111,0.1628468033775633,0.0542822677925211,0.1085645355850422,0.1628468033775633,0.0542822677925211,27.35826296743064,0.7056694813027744,1.7913148371531966,0.2714113389626055,0.97708082026538,2.768395657418577,7.979493365500604,4.234016887816646,1.5741857659831122,0.7056694813027744,0.9227985524728588,1.031363088057901,0.9227985524728588,0.2714113389626055,0.0,0.0542822677925211,20.438492063492063,30.0,53.06122448979592,44.82758620689656,6.801387213510254
CONMEBOL,Abner,21-24,D,CONMEBOL,187-194,19,13,1353.0,0.0,1.0,0.0,0.0,0,0,3,0.0,0,0.0665188470066518,0.0665188470066518,0.0,0.0,0.0665188470066518,0.0665188470066518,0.0,36.45232815964523,0.3325942350332594,1.197339246119734,0.8647450110864746,1.263858093126386,2.46119733924612,6.585365853658536,3.8580931263858096,0.3991130820399113,0.2660753880266075,1.197339246119734,0.3325942350332594,1.06430155210643,0.1995565410199556,0.0,0.0,30.14963503649635,0.0,58.58585858585859,66.66666666666666,6.774279379157428
EUROPE 1,Abner Vinícius,25-27,D,CONMEBOL,179-186,26,25,2164.0,3.0,2.0,0.0,0.0,0,0,4,0.0,1,0.0415896487985212,0.4158964879852126,0.2911275415896488,0.1247689463955637,0.0831792975970425,0.2079482439926063,0.1247689463955637,41.63123844731978,0.9565619223659888,1.4140480591497229,0.166358595194085,0.2911275415896488,1.7051756007393717,6.1136783733826245,2.620147874306839,0.9149722735674676,0.3743068391866913,0.5822550831792976,0.2495378927911275,0.9565619223659888,0.166358595194085,0.0,0.0415896487985212,38.48251748251748,70.0,42.85714285714285,40.909090909090914,6.870563770794824
EUROPE 2,Abraham Marcus,25-27,M,CAF,171-178,31,30,2574.0,5.0,5.0,0.0,0.0,0,0,2,0.0,1,0.2097902097902098,1.1538461538461535,0.4545454545454546,0.1748251748251748,0.1748251748251748,0.3496503496503496,0.1748251748251748,24.895104895104893,1.503496503496503,1.3286713286713288,0.1048951048951049,0.4895104895104895,1.8181818181818183,13.496503496503497,6.538461538461539,3.4265734265734267,1.8181818181818183,0.3496503496503496,1.9230769230769231,1.013986013986014,0.0699300699300699,0.0,0.0349650349650349,20.498595505617978,39.39393939393939,48.44559585492228,53.06122448979592,7.12008547008547
EUROPE 1,Abu Francis,21-24,M,CAF,179-186,8,7,532.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.3383458646616541,0.0,0.0,0.0,0.0,0.0,40.26315789473684,0.169172932330827,3.214285714285714,0.5075187969924811,1.3533834586466165,4.56766917293233,8.289473684210526,5.582706766917293,0.6766917293233082,0.5075187969924811,0.6766917293233082,0.6766917293233082,0.8458646616541353,0.3383458646616541,0.0,0.0,26.823529411764707,0.0,67.3469387755102,75.0,6.743796992481203
EUROPE 1,Achraf Hakimi,25-27,D,CAF,179-186,18,15,1374.0,2.0,2.0,0.0,0.0,0,0,3,0.0,1,0.2620087336244541,1.310043668122271,0.5895196506550218,0.131004366812227,0.131004366812227,0.2620087336244541,0.131004366812227,83.44978165938865,1.3755458515283845,1.1790393013100435,0.0655021834061135,0.7205240174672489,1.8995633187772925,7.467248908296943,3.078602620087336,2.1615720524017465,0.5240174672489083,0.8515283842794761,1.1135371179039302,0.5895196506550218,0.1965065502183406,0.0,0.0655021834061135,73.06985871271586,45.0,41.2280701754386,24.24242424242424,6.7990538573508
CONCACAF,Adalberto Carrasquilla,25-27,M,CONCACAF,163-170,38,32,2860.0,2.0,6.0,1.0,1.0,0,0,11,0.0,0,0.0314685314685314,0.8181818181818181,0.3461538461538461,0.0629370629370629,0.1888111888111888,0.2517482517482518,0.0629370629370629,44.811188811188806,1.5104895104895104,0.8181818181818181,0.1888111888111888,0.7552447552447552,1.5734265734265735,8.590909090909092,4.027972027972028,1.4160839160839165,0.8496503496503497,0.4405594405594406,1.856643356643357,1.6993006993006994,0.3461538461538461,0.0,0.0,36.75772471910113,42.30769230769231,46.88644688644688,60.0,6.940244755244755
EUROPE 1,Adam Armstrong,28-31,F,UEFA,171-178,14,14,1146.0,2.0,2.0,0.0,0.0,1,0,3,0.0,0,0.4712041884816754,0.9424083769633508,0.4712041884816754,0.1570680628272251,0.1570680628272251,0.3141361256544502,0.0785340314136125,11.701570680628272,0.4712041884816754,0.6282722513089005,0.0785340314136125,0.1570680628272251,0.7853403141361257,5.811518324607329,2.356020942408377,1.413612565445026,0.7853403141361257,0.2356020942408377,0.2356020942408377,0.9424083769633508,0.2356020942408377,0.0,0.0,8.89655172413793,50.0,40.54054054054054,55.55555555555556,6.557766143106457
CONMEBOL,Adam Bareiro,28-31,F,CONMEBOL,179-186,31,18,1618.0,10.0,3.0,0.0,0.0,1,1,11,0.0,1,0.2224969097651421,2.280593325092707,1.6131025957972804,0.5562422744128553,0.1668726823238566,0.723114956736712,0.5006180469715699,20.30284301606922,0.723114956736712,1.2793572311495671,0.2224969097651421,0.1668726823238566,1.446229913473424,17.91100123609394,7.898640296662546,1.0012360939431395,0.3337453646477132,0.4449938195302843,2.1137206427688504,2.725587144622992,0.6118665018541409,0.0,0.0556242274412855,12.247252747252746,70.73170731707317,44.099378881987576,33.33333333333333,6.865530068195907
EUROPE 1,Adam Buksa,28-31,F,UEFA,187-194,25,6,926.0,3.0,0.0,0.0,0.0,0,0,3,0.0,0,0.2915766738660907,0.7775377969762419,0.5831533477321814,0.2915766738660907,0.0,0.2915766738660907,0.2915766738660907,17.591792656587476,1.0691144708423326,0.9719222462203024,0.0,0.1943844492440604,1.1663066954643628,16.52267818574514,7.775377969762419,0.9719222462203024,0.1943844492440604,0.5831533477321814,1.5550755939524838,2.3326133909287257,0.2915766738660907,0.0,0.0,6.414364640883978,75.0,47.05882352941176,20.0,6.678054054054054
EUROPE 2,Adam Carlén,25-27,M,UEFA,187-194,25,12,1243.0,0.0,1.0,0.0,1.0,0,0,4,0.0,0,0.0724054706355591,0.2896218825422365,0.0724054706355591,0.0,0.0724054706355591,0.0724054706355591,0.0,32.9444891391794,0.5068382944489139,2.6065969428801288,0.6516492357200322,0.6516492357200322,3.258246178600161,9.267900241351567,5.285599356395816,0.1448109412711182,0.1448109412711182,1.013676588897828,0.6516492357200322,1.592920353982301,0.2896218825422365,0.0,0.0,26.738938053097343,25.0,57.03125,100.0,6.725322580645161
EUROPE 1,Adam Daghim,16-20,F,UEFA,187-194,29,14,1544.0,2.0,4.0,0.0,0.0,0,0,3,0.0,0,0.233160621761658,1.2240932642487046,0.6411917098445596,0.116580310880829,0.233160621761658,0.349740932642487,0.116580310880829,24.831606217616574,1.2240932642487046,1.632124352331606,0.116580310880829,0.7577720207253886,2.389896373056995,12.823834196891193,5.82901554404145,3.555699481865285,1.2823834196891193,1.1075129533678756,1.4572538860103623,1.1075129533678756,0.1748704663212435,0.0,0.0,13.009389671361502,52.38095238095239,45.45454545454545,36.0655737704918,6.7810880829015545
EUROPE 1,Adam Dźwigała,28-31,D,UEFA,179-186,19,14,1295.0,1.0,1.0,0.0,0.0,0,0,5,0.0,0,0.0,0.277992277992278,0.138996138996139,0.0694980694980695,0.0694980694980695,0.138996138996139,0.0694980694980695,43.43629343629343,0.3474903474903475,3.1969111969111967,0.3474903474903475,1.5984555984555984,4.795366795366795,10.494208494208491,5.976833976833976,0.277992277992278,0.2084942084942085,0.7644787644787645,0.416988416988417,1.38996138996139,0.3474903474903475,0.0,0.0,32.344,50.0,56.95364238410596,75.0,6.713513513513513
EUROPE 1,Adam Karabec,21-24,M,UEFA,179-186,21,11,940.0,1.0,0.0,0.0,0.0,0,0,3,0.0,0,0.2872340425531914,0.5744680851063829,0.4787234042553191,0.0957446808510638,0.0,0.0957446808510638,0.0957446808510638,26.329787234042552,2.106382978723404,0.3829787234042553,0.0957446808510638,0.0957446808510638,0.4787234042553191,8.23404255319149,4.117021276595745,1.9148936170212765,1.053191489361702,0.5744680851063829,2.0106382978723407,1.3404255319148937,0.2872340425531914,0.0,0.0,15.672727272727272,83.33333333333334,50.0,55.00000000000001,6.724626865671642
EUROPE 1,Adam Marušić,32-35,D,UEFA,179-186,33,32,2783.0,1.0,2.0,0.0,0.0,0,0,1,0.0,1,0.0323392022996766,0.4204096298957959,0.2263744160977362,0.0323392022996766,0.0646784045993532,0.0970176068990298,0.0323392022996766,49.60833632770392,0.2910528206970895,1.1318720804886813,0.3880704275961192,1.067193675889328,2.199065756378009,5.62702120014373,2.8781890046712184,0.6467840459935321,0.1940352137980596,0.2910528206970895,0.582105641394179,0.7114624505928854,0.0323392022996766,0.0,0.0323392022996766,46.29661016949152,53.84615384615385,51.14942528735632,30.0,6.671469637082286
EUROPE 1,Adam Obert,21-24,D,UEFA,187-194,35,33,2788.0,0.0,3.0,0.0,0.0,0,0,10,0.0,1,0.0,0.2582496413199426,0.0968436154949784,0.0,0.0968436154949784,0.0968436154949784,0.0,39.02797704447633,0.8715925394548063,2.1951219512195124,0.5810616929698709,1.3558106169296986,3.5509325681492108,7.715208034433285,4.131994261119082,0.8070301291248206,0.5164992826398852,0.4842180774748924,0.4196556671449067,1.291248206599713,0.3228120516499282,0.0,0.0322812051649928,33.7468982630273,37.5,53.55648535564853,64.0,6.863522238163558
